"Level","Item","Description","Qty","Packing DOKAR","Packing DOKNR","Label DOKAR","Label DOKNR","Draw ID","Generic Item","FQty","2BOM","SAP Material ID","SAP Template","Blue","Bblock","BBtype","Smartpart"
"5","HE57P11Z61301","RESSORT DE COMPRESSION","1","","","","","","","","","","","","","","HE57P11Z61301"
"4","HE00P16Z40301","CAPOT TRINGLERIE  USINE","4","","","","","50","","","","","","","","","HE00P16Z40301"
"5","HE57P11Z62301","PARE EFFLUVE MALT","1","","","","","","","","","","","","","","HE57P11Z62301"
"4","RANT412134316","Zylschraube I6kt A2-70 M8x70","1","","","","","70","","","","","","","","","RANT412134316"
"5","HE57P21Z50001","PION INDEXAGE CONE","1","","","","","30","","","","","","","","","HE57P21Z50001"
"4","JE4724762401","Schulterhülse","2","","","","","80","","","","","","","","","JE4724762401"
"5","HE57P21Z50201","BAGUE DE GUIDAGE","1","","","","","130","","","","","","","","","HE57P21Z50201"
"4","RANT412034309","HEX SOCKET SCREW M8*35 A2-70","14","","","","","90","","","","","","","","","RANT412034309"
"5","HE57P21Z60001","ELECTRODE CONCAVE DE CONE AG","1","","","","","90","","","","","","","","","HE57P21Z60001"
"4","HE00P16Z10401","AXE LEVIER TRINGLERIE","3","","","","","100","","","","","","","","","HE00P16Z10401"
"5","HE57S11Z500-D-01","PLAN CONE RADIAL EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z500-D-01"
"4","HE00P12Z80001","PLAQUE DE GARDE","3","","","","","110","","","","","","","","","HE00P12Z80001"
"5","RANT412034362","SHCS_M10_X_1.5_X_50_SSTA170","1","","","","","260","","","","","","","","","RANT412034362"
"4","RANT417221009","WEDGE-LOCKING WASHER 8 A4","4","","","","","130","","","","","","","","","RANT417221009"
"5","RANT412134310","HEX. SOCKET BOLT M8*40 A2-70","4","","","","","150","","","","","","","","","RANT412134310"
"4","RANT412034306","SOCKET HEAD CAP SCREW M8X20 A2-70","4","","","","","140","","","","","","","","","RANT412034306"
"5","RANT412134414","Zylschraube I6kt A2-70 M12x60","2","","","","","110","","","","","","","","","RANT412134414"
"4","HE00P16Z40302","CAPOT TRINGLERIE SUP USINE","2","","","","","150","","","","","","","","","HE00P16Z40302"
"5","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","4","","","","","140","","","","","","","","","RANT417005009"
"4","RANT414034070","GOUJON M8x55 A2-70","4","","","","","170","","","","","","","","","RANT414034070"
"5","RANT417005010","PLAIN WASHER NORMAL D10 140 HV A2","1","","","","","250","","","","","","","","","RANT417005010"
"4","HE00P16Z80701","PLAQUE OBTURATRICE","2","","","","","180","","","","","","","","","HE00P16Z80701"
"5","RANT417015011","PLAIN WASHER SMALL D12 140 HV A2","2","","","","","100","","","","","","","","","RANT417015011"
"4","RANT417221008","Keilsicherungsscheibe 6 A4","6","","","","","190","","","","","","","","","RANT417221008"
"5","RANT425950307","JOINT TORIQUE 70 SH.A 5,33x56,52","1","","","","","70","","","","","","","","","RANT425950307"
"4","RANT412034257","SHCS_M6_X_1_X_25_mm_SSTA170","12","","","","","200","","","","","","","","","RANT412034257"
"4","HE057-03222-80348","","1","","","","","","","","","","","","","","HE057-03222-80348_0001_0_GIS_110_BHT_CP_PLAQUE SIGN. DS 5000A DB401_HE_PLA_SIGN_FAB_BLUE_0_0_0_DES2"
"4","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","28","","","","","210","","","","","","","","","RANT417005009"
"5","HE00P79Z00301","Brut Plaque 74x52 OLD = Alu Bleu BHT NEW = Std Inox Brossé","1","","","","","","","","","","","","","","HE00P79Z00301"
"4","RANT416134009","HEX NUT, STYLE 1 M8 A2-70 #","16","","","","","220","","","","","","","","","RANT416134009"
"4","HE057-32802-40281","","1","","","","","","","","","","","","","","HE057-32802-40281_0001_100_GIS_008_BHT_CP_COUVERCLE RAL9016 CEN_HE53P27Z40101-T_BLUE_0_DES2"
"4","RANT412034254","SHCS-_M6_X_1_X_16_mm-_SSTA170","6","","","","","240","","","","","","","","","RANT412034254"
"5","HE53P27Z40161","COUVERCLE PLEIN CENELEC","1","","","","","","","","","","","","","","HE53P27Z40161"
"4","RANT417005010","PLAIN WASHER NORMAL D10 140 HV A2","8","","","","","250","","","","","","","","","RANT417005010"
"2","","","1","","","","","","","","","","","","","","100201436"
"4","JE4920464001","Warning sign, general","4","","","","","260","","","","","","","","","JE4920464001"
"3","HE057-ROD-DS-ES-4","TRINGLERIE DS","1","","","","","","","","","","","","","","HE057-ROD-DS-ES-4_0001__GIS_RED_024_BHT_CP_TRINGLERIE DS_HE057-ROD-DS-ES-1_NO_0_DES2"
"4","HE00P16Z80601","ROTULE EXCENTRIQUE","4","","","","","270","","","","","","","","","HE00P16Z80601"
"4","HE00P12Z80001","PLAQUE DE GARDE","3","","","","","","","","","","","","","","HE00P12Z80001"
"4","RANT417005008","PLAINWSHR, 6mm R, SST304 #","12","","","","","280","","","","","","","","","RANT417005008"
"4","HE00P16Z10201","NOIX ISOLANTE","1","","","","","","","","","","","","","","HE00P16Z10201"
"3","HE057-KIT-BAR-S-5","","1","","","","","","","","","","","","","","HE057-KIT-BAR-S-5_0001__GIS_RED_024_BHT_BAY_KIT BARRES SITE_HE057-KIT-BAR-S-5_NO_0_NOEMPTY_0_104000_ITR_TO_DERAIL"
"4","HE00P16Z10401","AXE LEVIER TRINGLERIE","3","","","","","","","","","","","","","","HE00P16Z10401"
"4","HE00S16Z101-D-01","PLAN TRINGLERIE MALT / DES T155-7","1","","","","","DRAW","","","","","","","","","HE00S16Z101-D-01"
"4","HE00P16Z10501","TIGE TRINGLERIE","2","","","","","","","","","","","","","","HE00P16Z10501"
"4","HE00P16Z10501","TIGE TRINGLERIE","2","","","","","20","","","","","","","","","HE00P16Z10501"
"4","HE00P16Z10601","LEVIER TRINGLERIE","3","","","","","","","","","","","","","","HE00P16Z10601"
"4","HE53P12Z18202","ARBRE DE TRANSMISSION DECALE","1","","","","","60","","","","","","","","","HE53P12Z18202"
"4","HE00P16Z40301","CAPOT TRINGLERIE  USINE","4","","","","","","","","","","","","","","HE00P16Z40301"
"4","HE00P16Z40601","RENFORCEMENT GFRP","2","","","","","160","","","","","","","","","HE00P16Z40601"
"4","HE00P16Z40302","CAPOT TRINGLERIE SUP USINE","2","","","","","","","","","","","","","","HE00P16Z40302"
"4","HE00P16Z10201","NOIX ISOLANTE","1","","","","","10","","","","","","","","","HE00P16Z10201"
"4","HE00P16Z40601","RENFORCEMENT GFRP","2","","","","","","","","","","","","","","HE00P16Z40601"
"4","RANT423301233","PALIER SUP.AC 10/12X20","3","","","","","30","","","","","","","","","RANT423301233"
"4","HE00P16Z80601","ROTULE EXCENTRIQUE","4","","","","","","","","","","","","","","HE00P16Z80601"
"4","HE00P16Z10601","LEVIER TRINGLERIE","3","","","","","40","","","","","","","","","HE00P16Z10601"
"4","HE00P16Z80701","PLAQUE OBTURATRICE","2","","","","","","","","","","","","","","HE00P16Z80701"
"4","HE00P16Z40301","CAPOT TRINGLERIE  USINE","4","","","","","50","","","","","","","","","HE00P16Z40301"
"4","HE00S16Z101-D-01","PLAN TRINGLERIE MALT / DES T155-7","1","","","","","DRAW","","","","","","","","","HE00S16Z101-D-01"
"4","RANT412134316","Zylschraube I6kt A2-70 M8x70","1","","","","","70","","","","","","","","","RANT412134316"
"4","HE53P12Z18202","ARBRE DE TRANSMISSION DECALE","1","","","","","60","","","","","","","","","HE53P12Z18202"
"4","JE4724762401","Schulterhülse","2","","","","","80","","","","","","","","","JE4724762401"
"4","JE4724762401","Schulterhülse","2","","","","","80","","","","","","","","","JE4724762401"
"4","RANT412034309","HEX SOCKET SCREW M8*35 A2-70","14","","","","","90","","","","","","","","","RANT412034309"
"4","JE4920464001","Warning sign, general","4","","","","","260","","","","","","","","","JE4920464001"
"4","HE00P16Z10401","AXE LEVIER TRINGLERIE","3","","","","","100","","","","","","","","","HE00P16Z10401"
"4","RANT412034254","SHCS-_M6_X_1_X_16_mm-_SSTA170","6","","","","","240","","","","","","","","","RANT412034254"
"4","HE00P12Z80001","PLAQUE DE GARDE","3","","","","","110","","","","","","","","","HE00P12Z80001"
"4","RANT412034257","SHCS_M6_X_1_X_25_mm_SSTA170","12","","","","","200","","","","","","","","","RANT412034257"
"4","RANT417221009","WEDGE-LOCKING WASHER 8 A4","4","","","","","130","","","","","","","","","RANT417221009"
"4","RANT412034306","SOCKET HEAD CAP SCREW M8X20 A2-70","4","","","","","140","","","","","","","","","RANT412034306"
"4","RANT412034306","SOCKET HEAD CAP SCREW M8X20 A2-70","4","","","","","140","","","","","","","","","RANT412034306"
"4","RANT412034309","HEX SOCKET SCREW M8*35 A2-70","14","","","","","90","","","","","","","","","RANT412034309"
"4","HE00P16Z40302","CAPOT TRINGLERIE SUP USINE","2","","","","","150","","","","","","","","","HE00P16Z40302"
"4","RANT412134316","Zylschraube I6kt A2-70 M8x70","1","","","","","70","","","","","","","","","RANT412134316"
"4","RANT414034070","GOUJON M8x55 A2-70","4","","","","","170","","","","","","","","","RANT414034070"
"4","RANT414034070","GOUJON M8x55 A2-70","4","","","","","170","","","","","","","","","RANT414034070"
"4","HE00P16Z80701","PLAQUE OBTURATRICE","2","","","","","180","","","","","","","","","HE00P16Z80701"
"4","RANT416134009","HEX NUT, STYLE 1 M8 A2-70 #","16","","","","","220","","","","","","","","","RANT416134009"
"4","RANT417221008","Keilsicherungsscheibe 6 A4","6","","","","","190","","","","","","","","","RANT417221008"
"4","RANT417005008","PLAINWSHR, 6mm R, SST304 #","12","","","","","280","","","","","","","","","RANT417005008"
"4","RANT412034257","SHCS_M6_X_1_X_25_mm_SSTA170","12","","","","","200","","","","","","","","","RANT412034257"
"4","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","28","","","","","210","","","","","","","","","RANT417005009"
"4","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","28","","","","","210","","","","","","","","","RANT417005009"
"4","RANT417005010","PLAIN WASHER NORMAL D10 140 HV A2","8","","","","","250","","","","","","","","","RANT417005010"
"4","RANT416134009","HEX NUT, STYLE 1 M8 A2-70 #","16","","","","","220","","","","","","","","","RANT416134009"
"4","RANT417221008","Keilsicherungsscheibe 6 A4","6","","","","","190","","","","","","","","","RANT417221008"
"4","RANT412034254","SHCS-_M6_X_1_X_16_mm-_SSTA170","6","","","","","240","","","","","","","","","RANT412034254"
"4","RANT417221009","WEDGE-LOCKING WASHER 8 A4","4","","","","","130","","","","","","","","","RANT417221009"
"4","RANT417005010","PLAIN WASHER NORMAL D10 140 HV A2","8","","","","","250","","","","","","","","","RANT417005010"
"4","RANT423301233","PALIER SUP.AC 10/12X20","3","","","","","30","","","","","","","","","RANT423301233"
"4","JE4920464001","Warning sign, general","4","","","","","260","","","","","","","","","JE4920464001"
"3","","","1","","","","","","","","","","","","","","100201438"
"4","HE00P16Z80601","ROTULE EXCENTRIQUE","4","","","","","270","","","","","","","","","HE00P16Z80601"
"4","","","1","","","","","","","","","","","","","","HE057-1053122861_0001_5000_GIS_003_BHT_DD_DENSISTAT_HE00S23Z100-T_NO_0_DD3"
"4","RANT417005008","PLAINWSHR, 6mm R, SST304 #","12","","","","","280","","","","","","","","","RANT417005008"
"5","HE00S23Z09403","DD TRAFAG X6 RADIAL 7,8b g3","1","","","","","","","","","","","","","","HE00S23Z09403"
"3","100260803","","1","","","","","","","","","","","","","","100260802"
"5","HE00S23Z100-D-01","PLAN SURVEILLANCE SF6 ET G3","1","","","","","DRAW","","","","","","","","","HE00S23Z100-D-01"
"4","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057_TC-001_M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M"
"5","HE00S23Z100-P","PHANTOM SURVEILLANCE SF6 ET G3","1","","","","","","","","","","","","","","HE00S23Z100-P"
"3","100260805","","1","","","","","","","","","","","","","","100260804"
"5","HE433912030","Transmeter Keller M12 V4 16 bar","1","","","","","","","","","","","","","","HE433912030"
"4","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057_TC-001_M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M"
"5","HE462043001","BOUCHON 1/2 PR DENSISTAT","1","","","","","130","","","","","","","","","HE462043001"
"3","100260807","","1","","","","","","","","","","","","","","100260806"
"5","JE4733995001","Gas Connection g3 DILO DN20","1","","","","","110","","","","","","","","","JE4733995001"
"4","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057_TC-001_M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M"
"2","","","1","","","","","","","","","","","","","","100201440"
"3","100260809","","1","","","","","","","","","","","","","","100260808"
"3","","","0","","","","","","","","","","","","","","HE057-DS-5_0001__GIS_RED_001_BHT_CP_SECTIONNEUR_HE057-DS-1_NO_BT_DES2"
"4","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057_TC-001_M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M"
"4","HE057-14878-98479","","1","","","","","","","","","","","","","","HE057-14878-98479_0001_10_GIS_037_BHT_CP_CUVE DS RAL9016 EP19 CEN_HE57P11Z40101-T_BLUE_0_DES2"
"3","100260811","","1","","","","","","","","","","","","","","100260810"
"5","HE57P11Z40161","CUVE DES EP.19 USINE","1","","","","","","","","","","","","","","HE57P11Z40161"
"4","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057_TC-001_M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M"
"4","HE00S00Z00206","DR 13b g3","1","","","","","","","","","","","","","","HE00S00Z00206"
"3","100260813","","1","","","","","","","","","","","","","","100260812"
"4","HE00S23Z10801","HUBLOT EQUIPE","2","","","","","","","","","","","","","","HE00S23Z10801"
"4","HE057-FK1-DB401","","1","","","","","","","","","","","","","","HE057-FK1-DB401_0001_0_GIS_001_I_SEH_FK_T155-7 FK3-2 - DB401_HE53S14Z107-T_BLUE_BT_0_Y_FK1"
"4","HE00S25Z01502","CAPTEUR UHF PDWATCH EQUIPE SUR D115","1","","","","","","","","","","","","","","HE00S25Z01502"
"5","HE57S14Z100-D-01","PLAN FK3.2","1","","","","","","","","","","","","","","HE57S14Z100-D-01"
"4","HE00S27Z40201","COUVERCLE DIAM 100 EQUIPE","1","","","","","","","","","","","","","","HE00S27Z40201"
"5","JE4811908602P69","Kit Lowlevel","1","","","","","","","","","","","","","","JE4811908602P69"
"4","HE53S27Z00802","OBTUR.PIQ.VANNE AVEC INTERFACE G3","1","","","","","","","","","","","","","","HE53S27Z00802"
"5","HE057-TC-014-P","","1","","","","","","","","","","","","","","HE057_TC-014_P_0001__GIS_RED_014_BHT_BAY_Transport Component 14_HE057-TC-014-P"
"4","HE57S11Z001-D-01","PLAN DES DEPART EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z001-D-01"
"6","JE4811922383","Groschopp Motor mit Ritzel","1","","","","","","","","","","","","","","JE4811922383"
"4","HE57S11Z10001","ENTREE DE MOUVEMENT DS","1","","","","","30","","","","","","","","","HE57S11Z10001"
"6","JE4910211020","Tripping coil 35,5 Ohm","1","","","","","","","","","","","","","","JE4910211020"
"4","HE57S90Z50101","INTERFACE INDICAT DE CONE FERME OUTDOOR","1","","","","","130","","","","","","","","","HE57S90Z50101"
"6","JE4910211015","Auslösespule 3,55 Ohm Schraub.","1","","","","","","","","","","","","","","JE4910211015"
"4","HE57S90Z50101","INTERFACE INDICAT DE CONE FERME OUTDOOR","1","","","","","130","","","","","","","","","HE57S90Z50101"
"6","JE4910211015","Auslösespule 3,55 Ohm Schraub.","1","","","","","","","","","","","","","","JE4910211015"
"4","HE57S90Z80101","INTERFACE BRIDE BRIDE","1","","","","","350","","","","","","","","","HE57S90Z80101"
"6","JE4910211020","Tripping coil 35,5 Ohm","1","","","","","","","","","","","","","","JE4910211020"
"4","HE57S90Z80301","INTERFACE FIXATION CONE","2","","","","","60","","","","","","","","","HE57S90Z80301"
"5","HE057-TC-013-P","","1","","","","","","","","","","","","","","HE057_TC-013_P_0001__GIS_RED_013_BHT_BAY_Transport Component 13_HE057-TC-013-P"
"4","HE57S90Z80601","INTERFACE DES ISOLEE","1","","","","","40","","","","","","","","","HE57S90Z80601"
"3","HE057-TC-001-M","","1","","","","","","","","","","","","","","HE057-TC-001-M_0001__GIS_RED_001_BHT_BAY_Transport Component 1_HE057-TC-001-M_NO_0_NOEMPTY_104000"
"4","HE57S90Z80701","INTERFACE OBTURATION M8 BRIDE","1","","","","","150","","","","","","","","","HE57S90Z80701"
"4","HE057-618175217","","1","","","","","","","","","","","","","","HE057-3946875087_0001_0310_GIS_067_SEH_MEC_ELECTRICAL EQUIPMENT ME4 CPL -14_JE48404242-T_BLUE_0_MEC2"
"4","","","1","","","","","","","","","","","","","","HE057-DS-MIN-5_0001__GIS_RED_003_BHT_CP_CONE MOBILE EQUIPE DS_HE057-DS-MIN-1_NO_B_DES2"
"5","JE48404242-D","JE48404242 Drawing","1","","","","","DRAW","","","","","","","","","JE48404242-D"
"5","HE00P90Z80003","JOINT TORIQUE 70 Sh.A Ø62,5xØ6.99 Butyl","1","","","","","","","","","","","","","","HE00P90Z80003"
"5","JE4840425214","Nockenschalter Einheit","1","","","","","10","","","","","","","","","JE4840425214"
"5","HE364229003","CONTACT RESSORT D107","4","","","","","","","","","","","","","","HE364229003"
"5","JE4910350601","Crimpkontakt-Stift 1,5mm2 versilbert","120","","","","","30","","","","","","","","","JE4910350601"
"5","HE57P11Z50001","CONE T155-7 FERME","1","","","","","","","","","","","","","","HE57P11Z50001"
"5","JE4910392501","Stifteinsatz Han 40D-M-c","3","","","","","50","","","","","","","","","JE4910392501"
"5","HE57P11Z60501","ELECTRODE MOBILE AG","1","","","","","","","","","","","","","","HE57P11Z60501"
"5","JE4910394001","Fuehrungsstift","6","","","","","60","","","","","","","","","JE4910394001"
"5","HE57P11Z60601","EMBASE ELECTRODE MOBILE AVEC AG","1","","","","","","","","","","","","","","HE57P11Z60601"
"5","JE4910394101","Fuehrungsbuchse","6","","","","","70","","","","","","","","","JE4910394101"
"5","HE57P11Z60701","BANDE DE GUIDAGE DES","3","","","","","","","","","","","","","","HE57P11Z60701"
"5","JE4910396801","Stifteinsatz Han Q7/0","3","","","","","90","","","","","","","","","JE4910396801"
"5","HE57P11Z61901","RESSORT MISE POTENTIEL","1","","","","","","","","","","","","","","HE57P11Z61901"
"5","JE4910396901","Kodierpins Stift zu Han Q","3","","","","","100","","","","","","","","","JE4910396901"
"5","HE57P21Z50001","PION INDEXAGE CONE","1","","","","","","","","","","","","","","HE57P21Z50001"
"5","JE4910398101","Varistoreneinheit 175V","1","","","","","110","","","","","","","","","JE4910398101"
"5","HE57P35Z60001","ELECTRODE MID","1","","","","","","","","","","","","","","HE57P35Z60001"
"5","JE4910399901","Leitermarkierung WMS 4,8(EX9)R weiss","260","","","","","120","","","","","","","","","JE4910399901"
"5","HE57S11Z501-D-01","PLAN CONE MOBILE EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z501-D-01"
"5","JE4910703002","Antikon.-Heizung 820 ohm","1","","","","","130","","","","","","","","","JE4910703002"
"5","RANT412134414","Zylschraube I6kt A2-70 M12x60","4","","","","","120","","","","","","","","","RANT412134414"
"5","RANT267317311","Aderleitung Halogenfrei 1,5 mm2 schwarz","18","","","","","140","","","","","","","","","RANT267317311"
"5","RANT417015011","PLAIN WASHER SMALL D12 140 HV A2","4","","","","","110","","","","","","","","","RANT417015011"
"5","RANT419112078","THREAD ROLLING SCREW TORX M3*6","2","","","","","150","","","","","","","","","RANT419112078"
"5","RANT421206388","GOUPILLE CYLINDRIQUE D8*24 INOX","2","","","","","50","","","","","","","","","RANT421206388"
"5","RANT437101033","Aderendhülse mit Kunststoffhülse 1,5-10","120","","","","","160","","","","","","","","","RANT437101033"
"5","RANT425950307","JOINT TORIQUE 70 SH.A 5,33x56,52","1","","","","","70","","","","","","","","","RANT425950307"
"5","RANT437102034","Doppeladerendhülse isol. 2x1,5-12","25","","","","","170","","","","","","","","","RANT437102034"
"4","","","1","","","","","","","","","","","","","","HE057-DS-FIN-5_0001__GIS_RED_002_BHT_CP_CONE FIXE EQUIPE DS_HE057-DS-FIN-1_NO_B_DES2"
"5","HE06L810160","SCHEMA DE CABLAGE ME4","1","","","","","","","","","","","","","","HE06L810160_0001_0001_GIS_078_SEH_MEC_SCHEMA DE CABLAGE ME4_JE47010999-T_BLUE_0_MEC2"
"5","HE00P90Z80003","JOINT TORIQUE 70 Sh.A Ø62,5xØ6.99 Butyl","1","","","","","80","","","","","","","","","HE00P90Z80003"
"4","HE057-33584-23316","","1","","","","","","","","","","","","","","HE057-33584-23316_0001_1010_GIS_068_SEH_MEC_MEC LABEL KIT ME4 CPL -32 DB401_JE49204616-T1_BLUE_0_MEC2"
"5","HE364229003","CONTACT RESSORT D107","4","","","","","160","","","","","","","","","HE364229003"
"5","JE4840481432","Betriebsartenschild","1","","","","","","","","","","","","","","JE4840481432"
"5","HE57P11Z50001","CONE T155-7 FERME","1","","","","","10","","","","","","","","","HE57P11Z50001"
"5","JE4920460104","Bezeichnungsschild - vorne - DSES","1","","","","","","","","","","","","","","JE4920460104"
"5","HE57P11Z60102","ELECTRODE Ø275 RADIALE DS AG","1","","","","","","","","","","","","","","HE57P11Z60102"
"5","JE49204616-D","JE49204616 Drawing","1","","","","","DRAW","","","","","","","","","JE49204616-D"
"5","HE57P11Z60901","EMBOUT CONTACT D'ARC FEMELLE","1","","","","","","","","","","","","","","HE57P11Z60901"
"5","JE49204616-P","JE49204616 Phantom","1","","","","","","","","","","","","","","JE49204616-P"
"5","HE57P11Z61001","CONTACT ARC FEMELLE","1","","","","","","","","","","","","","","HE57P11Z61001"
"4","HE057-03051-02447","","1","","","","","","","","","","","","","","HE057-03051-02447_0001_0010_GIS_174_SEH_MEC_PLAQUE SIGN. ME4 MEC2 DB401_HE_PLA_SIGN_FAB_BLUE_0_0_0_MEC2"
"5","HE57P11Z61101","ANNEAU DS","1","","","","","","","","","","","","","","HE57P11Z61101"
"5","HE00P79Z00302","Brut Plaque 80x80 OLD = Alu Bleu BHT NEW = Std Inox Brossé","1","","","","","","","","","","","","","","HE00P79Z00302"
"5","HE57P11Z61201","BOUCHON DS","1","","","","","","","","","","","","","","HE57P11Z61201"
"4","JE4910705601","Blindstopfen 800F-N2","2","","","","","","","","","","","","","","JE4910705601"
"5","HE57P11Z61301","RESSORT DE COMPRESSION","1","","","","","","","","","","","","","","HE57P11Z61301"
"4","JE48490001-D-12","PLAN JE48490001","1","","","","","DRAW","","","","","","","","","JE48490001-D-12"
"5","HE57P11Z62301","PARE EFFLUVE MALT","1","","","","","","","","","","","","","","HE57P11Z62301"
"4","JE48404053-D","JE48404053 Drawing","1","","","","","DRAW","","","","","","","","","JE48404053-D"
"5","HE57P21Z50001","PION INDEXAGE CONE","1","","","","","30","","","","","","","","","HE57P21Z50001"
"4","JE4840415301","LOW LEVEL Antrieb T155-3 / DES / KIT","1","","","","","","","","","","","","","","JE4840415301"
"5","HE57P21Z50201","BAGUE DE GUIDAGE","1","","","","","130","","","","","","","","","HE57P21Z50201"
"4","JE4840423101","position indicator","1","","","","","70","","","","","","","","","JE4840423101"
"5","HE57P21Z60001","ELECTRODE CONCAVE DE CONE AG","1","","","","","90","","","","","","","","","HE57P21Z60001"
"4","JE4840437101","flat gasket set","1","","","","","130","","","","","","","","","JE4840437101"
"5","HE57S11Z500-D-01","PLAN CONE RADIAL EQUIPE","1","","","","","DRAW","","","","","","","","","HE57S11Z500-D-01"
"4","JE4840467701","distance sleeve","1","","","","","90","","","","","","","","","JE4840467701"
"5","RANT412034362","SHCS_M10_X_1.5_X_50_SSTA170","1","","","","","260","","","","","","","","","RANT412034362"
"4","JE4840490101","distance piece","4","","","","","170","","","","","","","","","JE4840490101"
"5","RANT412134310","HEX. SOCKET BOLT M8*40 A2-70","4","","","","","150","","","","","","","","","RANT412134310"
"4","JE4910474401","Druckausgleichselement M12x1.5","1","","","","","140","","","","","","","","","JE4910474401"
"5","RANT412134414","Zylschraube I6kt A2-70 M12x60","2","","","","","110","","","","","","","","","RANT412134414"
"4","JE4910474402","Gegenmutter M12x1.5","1","","","","","150","","","","","","","","","JE4910474402"
"5","RANT417005009","WASHER D8 ISO7089 U6592 A304 #","4","","","","","140","","","","","","","","","RANT417005009"
"4","JE4910474708","CAP Dichtblindniete 3.2x8","4","","","","","960","","","","","","","","","JE4910474708"
"5","RANT417005010","PLAIN WASHER NORMAL D10 140 HV A2","1","","","","","250","","","","","","","","","RANT417005010"
"4","JE4910478301","Sechskant-Rippenmutter mit Flansch M6","4","","","","","160","","","","","","","","","JE4910478301"
"5","RANT417015011","PLAIN WASHER SMALL D12 140 HV A2","2","","","","","100","","","","","","","","","RANT417015011"
"4","JE4910479102","Flachkopfschraube Torx M5x10 A2 Tuflok","1","","","","","730","","","","","","","","","JE4910479102"
"5","RANT425950307","JOINT TORIQUE 70 SH.A 5,33x56,52","1","","","","","70","","","","","","","","","RANT425950307"
"4","JE4910479103","Flachkopfschraube Torx M5x35 A2 Tuflok","1","","","","","740","","","","","","","","","JE4910479103"
"4","HE057-03222-80348","","1","","","","","","","","","","","","","","HE057-03222-80348_0001_0_GIS_110_BHT_CP_PLAQUE SIGN. DS 5000A DB401_HE_PLA_SIGN_FAB_BLUE_0_0_0_DES2"
"4","JE4910479105","Flachkopfschraube Torx M4x12 A2 Tuflo","38","","","","","720","","","","","","","","","JE4910479105"
"5","HE00P79Z00301","Brut Plaque 74x52 OLD = Alu Bleu BHT NEW = Std Inox Brossé","1","","","","","","","","","","","","","","HE00P79Z00301"
"4","RANT416134007","NUT M5 EN-ISO4032 U5588 A304","1","","","","","780","","","","","","","","","RANT416134007"
"4","HE057-32802-40281","","1","","","","","","","","","","","","","","HE057-32802-40281_0001_100_GIS_008_BHT_CP_COUVERCLE RAL9016 CEN_HE53P27Z40101-T_BLUE_0_DES2"
"4","RANT417202006","Federring niro 4","5","","","","","870","","","","","","","","","RANT417202006"
"5","HE53P27Z40161","COUVERCLE PLEIN CENELEC","1","","","","","","","","","","","","","","HE53P27Z40161"
"4","RANT417202007","SPRING WASHER D5 UNI8839A A301 *","1","","","","","880","","","","","","","","","RANT417202007"
"2","","","1","","","","","","","","","","","","","","100201442"
"4","RANT419112160","Gewindeformschraube M4x10","9","","","","","920","","","","","","","","","RANT419112160"
"4","RANT419112200","Gewindeformschraube M5x10","2","","","","","930","","","","","","","","","RANT419112200"
"2","","","1","","","","","","","","","","","","","","100201444"
"4","JE4112365101","Klebeplatte","4","","","","","370","","","","","","","","","JE4112365101"
"3","","","0","","","","","","","","","","","","","","HE057-DS-6_0001__GIS_RED_001_BHT_CP_SECTIONNEUR_HE057-DS-1_NO_BT_DES2"
"4","JE9191501102","Kabelbinder L=140-180","4","","","","","380","","","","","","","","","JE9191501102"
"4","HE057-14878-98479","","1","","","","","","","","","","","","","","HE057-14878-98479_0001_10_GIS_037_BHT_CP_CUVE DS RAL9016 EP19 CEN_HE57P11Z40101-T_BLUE_0_DES2"
"4","JE4910705501","Drucktaster unbeleuchtet","1","","","","","540","","","","","","","","","JE4910705501"
"5","HE57P11Z40161","CUVE DES EP.19 USINE","1","","","","","","","","","","","","","","HE57P11Z40161"
"4","JE4840475501","Sicherungsplatte","1","","","","","520","","","","","","","","","JE4840475501"
"4","HE00S00Z00206","DR 13b g3","1","","","","","","","","","","","","","","HE00S00Z00206"
"4","JE4910474501","Dichtung Vorreiber","1","","","","","555","","","","","","","","","JE4910474501"
"4","HE00S23Z10801","HUBLOT EQUIPE","2","","","","","","","","","","","","","","HE00S23Z10801"
"4","JE4910478102","Vorreiber untersch. schliessend","1","","","","","550","","","","","","","","","JE4910478102"
